Name,Cuisine,Ranking,Rating,Price,ReviewCount,Reviews,URL_TA
Osteria Fiorello,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",1711.0,4.5,Medium,43.0,"[['A little bit of Italy away from Italy', 'A lovely memory of Berlin'], ['05/23/2017', '10/23/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2099703-Reviews-Osteria_Fiorello-Berlin.html
Aiko,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options']",1712.0,4.0,Medium,146.0,"[['Good food, quick service', 'An enjoyable lunch at Japanese grill and s...'], ['11/22/2017', '10/23/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1073844-Reviews-Aiko-Berlin.html
Il Mondo,"['Italian', 'European', 'Mediterranean', 'Vegetarian Friendly']",1713.0,4.0,Medium,69.0,"[['FAR TOO NOISY FOR COMFORT', 'Excellent food and service.'], ['04/15/2017', '05/21/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2705701-Reviews-Il_Mondo-Berlin.html
Don Pasquale,"['Italian', 'Mediterranean', 'Pizza', 'Seafood']",1714.0,4.5,Low,25.0,"[['Great Italian meal', 'Great for lunch and dinner - cosy place'], ['12/15/2016', '10/08/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4985398-Reviews-Don_Pasquale-Berlin.html
Bootshaus Stella am Lietzensee,"['German', 'European', 'Central European']",1715.0,4.0,Medium,50.0,"[['Class Lakeside Cafeteria', 'Nice place'], ['08/21/2016', '07/22/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2243813-Reviews-Bootshaus_Stella_am_Lietzensee-Berlin.html
Vapiano,"['Italian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",1717.0,3.5,Medium,926.0,"[['Not the best Vapiano', 'Suitable for people who have a lot of time...'], ['01/10/2018', '12/27/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d7110715-Reviews-Vapiano-Berlin.html
Trattoria La Strada,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Grill', 'Vegetarian Friendly']",1718.0,3.5,Medium,192.0,"[['Typical Italian', 'Good Italian Food'], ['01/09/2018', '12/16/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d7307638-Reviews-Trattoria_La_Strada-Berlin.html
Restaurante Andalucia,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly']",1719.0,3.5,Medium,178.0,"[['Relatively authentic food and experience', 'Good selection of Tapas'], ['11/16/2017', '10/24/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1894579-Reviews-Restaurante_Andalucia-Berlin.html
The Flying Monkey,"['Chinese', 'Asian', 'Bar', 'Pub', 'Vegetarian Friendly']",1720.0,4.0,Medium,29.0,"[['Good service and tasty dim sum', 'Concept Dim.Sum + Drinks, Brilliant'], ['11/01/2017', '10/17/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d12422448-Reviews-The_Flying_Monkey-Berlin.html
Weimarer Dreieck,"['French', 'Polish', 'European', 'Vegetarian Friendly']",1721.0,4.5,Medium,22.0,"[['Great festival celebrating a very German C...', 'Cosy, friendly great food'], ['12/23/2017', '08/19/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d6994729-Reviews-Weimarer_Dreieck-Berlin.html
Sy Restaurant,"['Sushi', 'Japanese', 'Vietnamese']",1722.0,4.0,Medium,32.0,"[['Excellent Asian food, great value', 'What a find!'], ['10/20/2017', '02/23/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1357407-Reviews-Sy_Restaurant-Berlin.html
Cafe im Deutschen Historischen Museum,"['Cafe', 'German', 'European', 'Central European', 'Vegetarian Friendly']",1723.0,4.0,Medium,37.0,"[['Good for lunch', 'Lovely place'], ['09/06/2017', '08/28/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d6823287-Reviews-Cafe_im_Deutschen_Historischen_Museum-Berlin.html
Anant Restaurant,['Indian'],1726.0,4.5,Medium,14.0,"[['Highly recommended!', ""Best madras I've had in Berlin""], ['04/29/2017', '04/20/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d8615824-Reviews-Anant_Restaurant-Berlin.html
Via He hai,['Vietnamese'],1727.0,4.5,Low,18.0,"[['Superbly tasty Vietnamese food', 'Delicious Vietnamese food with so many veg...'], ['08/06/2016', '09/06/2015']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3162868-Reviews-Via_He_hai-Berlin.html
Allegretto,"['German', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",1728.0,3.5,Medium,79.0,"[['Ideal for a stopover when visiting Museums...', 'Good light lunch'], ['09/26/2017', '09/04/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d5012213-Reviews-Allegretto-Berlin.html
Restaurant Lorbeer,"['European', 'German', 'Delicatessen', 'Gastropub', 'Central European', 'Vegetarian Friendly']",1729.0,4.0,Medium,96.0,"[['Hearty fare', 'Over charged'], ['01/07/2018', '11/19/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1931486-Reviews-Restaurant_Lorbeer-Berlin.html
Restaurant Alvis,"['German', 'Cafe', 'Grill', 'International', 'Diner']",1731.0,4.0,High,40.0,"[['Business lunch offer', 'Pretentious and expensive'], ['05/17/2017', '07/20/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1037023-Reviews-Restaurant_Alvis-Berlin.html
